BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
4323 EAGLE ROCK BLVD,221.3,40,80624.0,Multifamily Housing,44.2,5801.1,1987.0
1825 N CAHUENGA BLVD,108.8,41,37900.0,Multifamily Housing,46.9,2410.2,1925.0
269 S LA FAYETTE PARK PL,242.2,83,123450.0,Multifamily Housing,32.9,3949.0,1970.0
530 S KENMORE AVE,63.6,87,26896.0,Multifamily Housing,41.0,1097.4,1927.0
6648 WOODLEY AVE,84.5,62,31380.0,Multifamily Housing,44.8,2120.7,1987.0
9601 CANOGA AVE,1381.5,Not Available,190000.0,Manufacturing/Industrial Plant,122.5,5460.8,1986.0
1219 N VERMONT AVE,71.8,71,28534.0,Multifamily Housing,43.9,2120.0,1926.0
4456 LOCKWOOD AVE,64.8,45,27000.0,Multifamily Housing,39.1,808.6,1920.0
17809 SUPERIOR ST,73.4,Not Available,27420.0,Multifamily Housing,44.0,1411.6,1987.0
10237 TUJUNGA CANYON BLVD,83,78,28666.0,Multifamily Housing,48.7,1625.5,1980.0
3903 WILSHIRE BLVD,31.2,Not Available,45303.0,Worship Facility,11.7,462.5,1926.0
1355 SAN PABLO ST,1041.5,21,126726.0,Medical Office,135.3,2260.6,1972.0
16923 PARTHENIA ST,69.1,67,25840.0,Office,39.0,94.3,1986.0
3443 S SEPULVEDA BLVD,21.1,Not Available,38912.0,Food Service,9.4,24.7,1957.0
14701 RAYEN ST,100.4,46,33225.0,Multifamily Housing,51.4,3177.7,1966.0
11040 W PICO BLVD,100.5,26,20000.0,Retail Store,80.5,54.0,1966.0
9710 ZELZAH AVE,291.8,83,88500.0,Multifamily Housing,56.6,3979.6,1987.0
1134 N SYCAMORE AVE,120.1,68,58401.0,Multifamily Housing,33.5,2478.3,1969.0
4303 NORMAL AVE,24.9,97,20465.0,Multifamily Housing,21.0,1312.1,1950.0
457 S BONNIE BRAE ST,78.1,18,21800.0,Multifamily Housing,65.3,2660.8,1925.0
10402 SCOVILLE AVE,57.6,67,23079.0,Multifamily Housing,41.1,1288.1,1989.0
14400 ADDISON ST,166.1,47,72490.0,Multifamily Housing,36.3,2559.8,1963.0
10006 PALMS BLVD,47.3,69,20280.0,Multifamily Housing,40.3,882.0,1964.0
1445 SEPULVEDA BLVD,46.2,Not Available,44088.0,Manufacturing/Industrial Plant,15.3,84.5,1965.0
11100 S CENTRAL AVE,72.9,98,57447.0,K-12 School,19.4,3482.4,1962.0
6376 YUCCA ST,162.5,11,33400.0,Multifamily Housing,87.9,3029.6,1997.0
1825 N CHEROKEE AVE,100.8,61,42945.0,Multifamily Housing,39.6,1325.5,1963.0
5500 S FIGUEROA ST,83.3,100,36451.0,Multifamily Housing,40.6,2156.6,2000.0
10905 OHIO AVE,119.6,41,49587.0,Multifamily Housing,39.6,3163.5,1969.0
3663 W WILSHIRE BLVD,256,Not Available,94500.0,Worship Facility,52.9,1550.7,1929.0
1975 N BEACHWOOD DR,63.6,89,23000.0,Multifamily Housing,44.8,1498.3,1925.0
3367 ANDRITA ST,34.8,Not Available,28399.0,Multifamily Housing,21.7,831.8,1989.0
1370 VETERAN AVE,60,85,36511.0,Multifamily Housing,26.6,1526.8,1962.0
11434 CALVERT ST,59.7,65,22494.0,Multifamily Housing,44.6,1041.3,1977.0
1551 N WILMINGTON BLVD,23.6,89,24713.0,Worship Facility,14.7,246.1,1971.0
9315 FIRTH BLVD,186.6,7,63566.0,Multifamily Housing,49.2,7223.9,2010.0
5870 FRANKLIN AVE,25.6,100,29440.0,Multifamily Housing,12.8,552.8,1928.0
1975 N BEACHWOOD DR,66.8,80,23000.0,Multifamily Housing,47.2,1285.9,1925.0
6912 MILWOOD AVE,94.8,80,37850.0,Multifamily Housing,41.6,11943.4,1989.0
5301 NEWCASTLE AVE,95.2,77,46472.0,Multifamily Housing,36.0,2158.9,1964.0
7231 VASSAR AVE,57,97,25572.0,Multifamily Housing,36.5,1764.7,1993.0
729 S ST ANDREWS PL,38.3,97,20968.0,Multifamily Housing,31.6,721.1,1928.0
530 S KENMORE AVE,65.1,82,26896.0,Multifamily Housing,42.0,980.7,1927.0
11665 W OLYMPIC BLVD,257.8,Not Available,19765.0,Worship Facility,215.5,1704.8,1998.0
8607 TUSCANY AVE,57.1,95,29335.0,Multifamily Housing,31.6,1093.7,1971.0
8935 BURNET AVE,71.5,93,34100.0,Multifamily Housing,34.1,3461.2,1987.0
21325 SUPERIOR ST,107.1,Not Available,100400.0,Manufacturing/Industrial Plant,15.8,537.8,1977.0
6314 ARIZONA PL,89.5,57,29582.0,Office,44.2,211.0,1967.0
8553 SEPULVEDA BLVD,88.3,92,39750.0,Multifamily Housing,38.2,5715.1,1988.0
3367 ANDRITA ST,38.4,99,28399.0,Multifamily Housing,23.2,784.0,1989.0
4410 W MARTIN LUTHER KING JR BLVD,73.1,76,32920.0,Multifamily Housing,38.7,1591.1,1955.0
6730 RIVERTON AVE,75.4,85,34200.0,Multifamily Housing,37.6,2092.3,1979.0
12916 MOORPARK ST,53,92,27534.0,Multifamily Housing,31.7,833.3,2005.0
11221 RICHLAND AVE,71.6,79,39741.0,Multifamily Housing,29.4,1579.9,1989.0
21026 OSBORNE ST,35.2,Not Available,21450.0,Manufacturing/Industrial Plant,24.7,199.0,1981.0
11100 S CENTRAL AVE,98,93,57447.0,K-12 School,26.5,3801.0,1962.0
8630 WILLIS AVE,64.4,87,28388.0,Multifamily Housing,37.5,3097.7,1963.0
22122 ERWIN ST,151.9,70,83503.0,Multifamily Housing,26.7,2526.9,1971.0
1409 MIDVALE AVE,80.4,79,42187.0,Multifamily Housing,31.1,1787.1,1969.0
424 S BROADWAY,213,9,74624.0,Multifamily Housing,45.3,3463.5,1906.0
777 S WESTMORELAND AVE,58,83,24328.0,Multifamily Housing,39.5,911.1,1924.0
10133 TABOR ST,53.6,Not Available,23304.0,Multifamily Housing,38.5,883.4,2001.0
28000 S WESTERN AVE,45.8,Not Available,169947.0,Multifamily Housing,4.5,6154.8,2008.0
20327 NORDHOFF ST,49.8,Not Available,26260.0,Manufacturing/Industrial Plant,31.5,163.1,1968.0
9727 DE SOTO AVE,2039.7,Not Available,88576.0,Manufacturing/Industrial Plant,384.8,6701.8,1988.0
21012 LASSEN ST,13.2,99,28738.0,Distribution Center,7.2,138.4,1969.0
11640 KIOWA AVE,120,59,62556.0,Multifamily Housing,31.2,1447.5,1974.0
1219 N VERMONT AVE,68.5,75,28534.0,Multifamily Housing,41.9,2070.6,1926.0
530 S KENMORE AVE,63.6,84,26896.0,Multifamily Housing,40.9,932.1,1927.0
2715 JAMES M WOOD BLVD,79.2,44,29850.0,Multifamily Housing,44.1,3710.3,1989.0
1636 S BEVERLY GLEN BLVD,37.8,86,25163.0,Multifamily Housing,23.4,959.0,2013.0
5425 SANTA MONICA BLVD,26.4,96,27192.0,Multifamily Housing,14.2,1171.4,1925.0
22900 VENTURA BLVD,113.2,12,37613.0,Office,46.4,331.4,1979.0
553 S ST ANDREWS PL,94.7,94,45234.0,Multifamily Housing,35.0,2491.8,1990.0
7901 WOODLEY AVE,33.5,96,60000.0,Distribution Center,8.3,292.5,1980.0
18531 DEARBORN ST,55.5,81,22186.0,Multifamily Housing,42.7,847.5,1964.0
3775 S CANFIELD AVE,35.6,80,20921.0,Multifamily Housing,27.2,911.1,1970.0
1825 N CAHUENGA BLVD,121.6,26,37900.0,Multifamily Housing,52.2,2003.3,1925.0
11666 GOSHEN AVE,183.6,39,69467.0,Multifamily Housing,44.7,2126.7,1974.0
527 S HOBART BLVD,38.8,100,32520.0,Multifamily Housing,18.7,1194.6,1930.0
14609 SATICOY ST,88,63,29466.0,Multifamily Housing,49.9,3618.3,1963.0
8437 CEDROS AVE,80.6,Not Available,40089.0,Multifamily Housing,31.1,7251.6,1984.0
417 S BONNIE BRAE ST,158.5,43,49600.0,Multifamily Housing,55.3,19097.8,1990.0
8526 WILLIS AVE,73.4,75,27440.0,Multifamily Housing,45.0,2168.6,1961.0
3451 W 6TH ST,653.9,Not Available,38757.0,Other - Mall,301.9,5035.1,1928.0
801 S HOPE ST,828.1,Not Available,304627.0,Multifamily Housing,46.5,10923.8,2014.0
8957 LANGDON AVE,62.3,58,20144.0,Multifamily Housing,51.3,1918.0,1964.0
1100 E 33RD ST,257.4,14,75535.0,Multifamily Housing,51.9,4618.2,2009.0
10741 SHERMAN WAY,61.5,Not Available,50000.0,Manufacturing/Industrial Plant,18.0,662.0,1990.0
3451 W 6TH ST,561.9,Not Available,38757.0,Other - Mall,248.0,4260.2,1928.0
10825 NETTLETON ST,129.6,95,47500.0,Multifamily Housing,48.5,1594.8,1985.0
7501 N TYRONE AVE,128.1,32,22100.0,Office,94.0,254.0,2007.0
18718 W RAYEN ST,19.5,Not Available,18480.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",15.4,0.0,1958.0
19938 ROSCOE BLVD,83.7,72,29515.0,Multifamily Housing,47.6,1879.9,1963.0
1380 MIDVALE AVE,63.1,85,36587.0,Multifamily Housing,28.3,1801.3,1969.0
856 S CATALINA ST,65.2,77,23640.0,Multifamily Housing,47.3,2020.5,1928.0
9541 W PICO BLVD,78.4,57,23671.0,Retail Store,48.9,328.4,2003.0
3839 MOTOR AVE,33.8,81,20094.0,Multifamily Housing,29.8,338.9,1990.0
13843 OXNARD ST,76.2,100,58130.0,Multifamily Housing,24.3,3235.6,1961.0
7501 N TYRONE AVE,91.9,Not Available,29330.0,Other,45.9,283.2,1990.0
9001 LANGDON AVE,65.3,65,20255.0,Multifamily Housing,55.3,1880.6,1963.0
1635 N NORMANDIE AVE,51.1,95,30240.0,Multifamily Housing,27.5,2396.0,1952.0
9541 W PICO BLVD,80.3,54,23671.0,Retail Store,50.1,312.7,2003.0
611 HOOVER ST,0,100,19800.0,Non-Refrigerated Warehouse,0.0,0.0,1925.0
447 S BERENDO ST,72.7,69,36704.0,Multifamily Housing,32.3,3191.2,1971.0
820 S MANSFIELD AVE,42.9,92,22920.0,Multifamily Housing,29.5,796.7,1928.0
5898 W VENICE BLVD,66.8,21,12118.0,Office,80.5,215.0,1963.0
8040 W 83RD ST,44.1,94,26701.0,Multifamily Housing,28.2,544.6,1963.0
8857 CEDROS AVE,55.8,36,22486.0,Multifamily Housing,36.8,2031.0,1970.0
1141 W 2ND ST,41.6,Not Available,96390.0,Parking,20.0,314.1,1939.0
11805 W SHELDON ST,97.6,Not Available,19639.0,Other,72.5,454.7,1993.0
8750 LANGDON AVE,90.4,91,36560.0,Multifamily Housing,41.7,3236.1,1976.0
8039 S VERMONT AVE,88.8,Not Available,23849.0,Manufacturing/Industrial Plant,54.4,41.1,1931.0
9825 WOODLEY AVE,101.6,82,60000.0,K-12 School,25.6,1236.9,1963.0
8929 TOBIAS AVE,64,53,20435.0,Multifamily Housing,52.0,1621.0,1963.0
14625 SATICOY ST,73.5,39,20024.0,Multifamily Housing,61.5,2450.6,1961.0
14695 CHASE ST,58.9,83,21900.0,Multifamily Housing,45.9,1543.2,1961.0
4605 CAHUENGA BLVD,138.3,48,44391.0,Multifamily Housing,51.3,1444.5,1986.0
3901 W 7TH ST,48.6,72,20052.0,Multifamily Housing,42.2,1082.4,1955.0
1411 W 2ND ST,54.6,72,21840.0,Office,36.5,73.3,1939.0
1008 ROSEMONT AVE,80.6,93,42153.0,Multifamily Housing,32.5,7426.7,1985.0
11121 ARMINTA ST,108.5,75,40150.0,Multifamily Housing,46.3,2607.0,1969.0
8631 WILLIS AVE,71.2,73,26072.0,Multifamily Housing,44.5,1735.5,1963.0
18140 W DEVONSHIRE ST,40.6,76,21000.0,Office,28.2,242.4,1963.0
3910 COCO AVE,53.9,98,34576.0,Multifamily Housing,27.3,1328.5,1956.0
15215 RAYEN ST,68.7,30,21385.0,Multifamily Housing,54.7,1547.7,1962.0
5204 YARMOUTH AVE,31.1,97,29936.0,Multifamily Housing,17.2,1495.4,1971.0
4520 SANTA ROSALIA DR,44.4,88,24452.0,Multifamily Housing,31.0,1166.2,1956.0
1236 E PALMETTO ST,44.9,Not Available,15678.0,Other,41.8,48.0,1992.0
10800 S MAIN ST,91,27,30468.0,Multifamily Housing,50.1,2301.0,1992.0
4567 WILLIS AVE,48.9,97,31505.0,Multifamily Housing,25.1,1541.7,1964.0
5627 SEPULVEDA BLVD,43.2,97,24000.0,Mixed Use Property,17.7,270.2,1964.0
661 SHATTO PL,54.1,91,24000.0,Multifamily Housing,37.9,1775.9,1922.0
21431 SATICOY ST,127.1,67,43258.0,Multifamily Housing,50.6,2951.8,1975.0
13349 SATICOY ST,150.8,15,33838.0,Multifamily Housing,74.5,2660.1,1964.0
20235 SHERMAN WAY,83.7,75,32048.0,Multifamily Housing,42.5,2283.1,1965.0
14625 SATICOY ST,63.8,55,20024.0,Multifamily Housing,53.3,2663.1,1961.0
14515 DICKENS ST,61.8,77,26322.0,Multifamily Housing,38.7,792.9,1991.0
8334 WILLIS AVE,64.2,86,29823.0,Multifamily Housing,35.4,1947.2,1962.0
2715 JAMES M WOOD BLVD,80.6,43,29850.0,Multifamily Housing,44.7,3729.8,1989.0
7248 KELVIN AVE,64.6,88,24970.0,Multifamily Housing,46.3,2090.1,1977.0
14669 RAYEN ST,75.4,64,24208.0,Multifamily Housing,52.7,2254.6,1963.0
13349 SATICOY ST,146.9,23,33838.0,Multifamily Housing,72.0,2580.0,1964.0
443 S SAN PEDRO ST,71.2,100,95120.0,Multifamily Housing,11.8,1185.7,1923.0
1630 N NORTH MAIN ST,150.1,20,69120.0,Non-Refrigerated Warehouse,31.7,306.8,1939.0
11805 W SHELDON ST,1.7,98,10000.0,Non-Refrigerated Warehouse,2.5,0.0,1995.0
2311 S FAIRFAX AVE,27.2,49,8800.0,Office,45.1,107.8,1955.0
4567 WILLIS AVE,45.5,98,31505.0,Multifamily Housing,23.5,1582.9,1964.0
3742 JASMINE AVE,52.6,Not Available,29388.0,Multifamily Housing,29.6,694.9,1988.0
8518 WILLIS AVE,72.8,75,27444.0,Multifamily Housing,44.8,2489.5,1960.0
1325 N SIERRA BONITA AVE,136.1,78,60153.0,Multifamily Housing,37.1,1814.8,1989.0
964 MENLO AVE,43,61,20574.0,Multifamily Housing,34.5,1458.0,1961.0
4180 MARLTON AVE,53.7,98,46826.0,Multifamily Housing,16.7,1688.4,1989.0
13609 VICTORY BLVD,65.3,62,20596.0,Office,49.4,576.7,1962.0
14037 OXNARD ST,88,65,28025.0,Multifamily Housing,53.1,2027.2,1957.0
11458 BURBANK BLVD,56.1,95,22000.0,Multifamily Housing,43.0,1075.1,1957.0
820 S MANSFIELD AVE,40.6,91,22920.0,Multifamily Housing,30.5,761.5,1928.0
7501 N TYRONE AVE,28.9,Not Available,188000.0,Parking,2.4,89.7,1990.0
10750 OHIO AVE,95,Not Available,13744.0,Worship Facility,105.6,880.5,1957.0
7501 N TYRONE AVE,151.3,45,38818.0,Office,56.9,318.0,1992.0
1753 E OLYMPIC BLVD,238.3,Not Available,214735.0,Other,16.2,2150.6,1925.0
3451 W 6TH ST,753.2,Not Available,38757.0,Other - Mall,331.1,5067.3,1928.0
10961 W PICO BLVD,58.8,66,83780.0,Multifamily Housing,23.5,1249.2,1980.0
525 S HEWITT ST,176.9,81,60000.0,Office,55.9,695.9,2016.0
3316 SAN MARINO ST,102.2,55,38212.0,Multifamily Housing,45.8,3085.7,1928.0
10405 CANOGA AVE,25.7,100,55674.0,Multifamily Housing,8.3,1965.9,1964.0
8040 W 83RD ST,44.8,91,26701.0,Multifamily Housing,30.2,519.9,1963.0
16521 S FIGUEROA ST,116.8,90,39099.0,Multifamily Housing,53.9,3208.4,1984.0
6025 VALLEY CIRCLE BLVD,33.9,70,21886.0,Worship Facility,23.6,2246.4,1973.0
5627 SEPULVEDA BLVD,44.6,99,24000.0,Mixed Use Property,15.7,167.7,1964.0
814 S GRAND VIEW ST,78.9,92,42600.0,Multifamily Housing,31.0,5160.1,1991.0
5747 LAUREL CANYON BLVD,124.1,38,32673.0,Multifamily Housing,65.1,1843.9,1974.0
433 E TEMPLE ST,202,Not Available,102609.0,Parking,28.7,592.9,1992.0
23200 WESTERN AVE,325.2,53,99416.0,Multifamily Housing,59.5,9428.4,1989.0
9727 DE SOTO AVE,2299.3,Not Available,88576.0,Manufacturing/Industrial Plant,384.4,6307.6,1988.0
8415 WILLIS AVE,70.3,79,25959.0,Multifamily Housing,46.1,1956.9,1962.0
3451 W 6TH ST,659.9,Not Available,38757.0,Other - Mall,292.3,4445.7,1928.0
14400 VOSE ST,74.3,85,30404.0,Multifamily Housing,41.3,1633.7,1979.0
1325 N SIERRA BONITA AVE,124.7,84,60153.0,Multifamily Housing,34.2,1815.5,1989.0
5425 SANTA MONICA BLVD,23.6,99,27192.0,Multifamily Housing,12.7,592.5,1925.0
8966 MASON AVE,38.4,Not Available,44080.0,Manufacturing/Industrial Plant,14.5,536.4,1974.0
4567 WILLIS AVE,47.1,97,31505.0,Multifamily Housing,24.3,1484.1,1964.0
1012 SANTEE ST,31.4,Not Available,26400.0,Manufacturing/Industrial Plant,17.4,153.4,1927.0
201 S SANTA FE AVE,54.2,Not Available,46863.0,Manufacturing/Industrial Plant,16.9,544.6,1934.0
19050 SHERMAN WAY,180.6,83,131170.0,Multifamily Housing,20.1,6211.8,1974.0
8437 CEDROS AVE,81.7,Not Available,40089.0,Multifamily Housing,31.5,8301.9,1984.0
8825 CEDROS AVE,78.2,80,26223.0,Multifamily Housing,50.3,1975.6,1977.0
8966 MASON AVE,66.9,Not Available,44080.0,Manufacturing/Industrial Plant,22.3,482.5,1974.0
971 ELDEN AVE,97.4,53,38731.0,Multifamily Housing,41.4,4210.0,1963.0
9301 MASON AVE,768.9,Not Available,106135.0,Manufacturing/Industrial Plant,120.1,680.8,1968.0
8822 LANGDON AVE,76.8,91,33928.0,Multifamily Housing,37.5,2357.1,1963.0
6025 VALLEY CIRCLE BLVD,45.3,58,21886.0,Worship Facility,31.9,2232.2,1973.0
3742 JASMINE AVE,57,Not Available,29388.0,Multifamily Housing,31.8,821.4,1988.0
4030 CRENSHAW BLVD,46.4,42,12865.0,Office,52.7,486.8,1957.0
1394 S SEPULVEDA BLVD,23.7,53,12207.0,Non-Refrigerated Warehouse,28.4,946.2,1940.0
508 S SERRANO AVE,71.5,84,28432.0,Multifamily Housing,43.0,1330.0,1929.0
19050 SHERMAN WAY,194.8,83,131170.0,Multifamily Housing,21.7,5941.0,1974.0
10741 SHERMAN WAY,38.8,Not Available,50000.0,Manufacturing/Industrial Plant,12.8,617.1,1990.0
363 S MISSION RD,15.2,Not Available,30299.0,Manufacturing/Industrial Plant,7.3,17.2,1940.0
8935 BURNET AVE,116.4,46,34100.0,Multifamily Housing,57.3,3178.5,1987.0
14641 DELANO ST,73.6,51,20526.0,Multifamily Housing,61.4,2362.3,1960.0
10828 OTSEGO ST,60.5,42,20254.0,Multifamily Housing,49.8,1267.9,1984.0
8600 WILLIS AVE,61.2,86,22592.0,Multifamily Housing,45.3,1947.9,1975.0
801 S HOPE ST,892.7,Not Available,304627.0,Multifamily Housing,45.8,10714.3,2014.0
8609 WILLIS AVE,76.4,86,30676.0,Multifamily Housing,42.4,2562.8,1963.0
8711 LANGDON AVE,65.7,81,23747.0,Multifamily Housing,46.7,1856.7,1965.0
14816 CHASE ST,92.3,76,33856.0,Multifamily Housing,45.9,2321.2,1963.0
16840 CHATSWORTH ST,81.1,58,25636.0,Multifamily Housing,51.9,2031.0,1965.0
8630 WILLIS AVE,90,64,28388.0,Multifamily Housing,54.1,2295.0,1963.0
11473 RIVERSIDE DR,95,56,26202.0,Multifamily Housing,62.0,1895.6,1964.0
8721 W OLYMPIC BLVD,108.3,98,34024.0,Senior Living Community,51.5,2708.7,1976.0
8549 WILLIS AVE,89.8,62,28941.0,Multifamily Housing,52.8,2589.8,1963.0
510 E 2ND ST,69.7,Not Available,13500.0,Other,75.3,151.2,1973.0
4126 ROSEWOOD AVE,103.9,39,43293.0,Multifamily Housing,40.6,3150.8,1963.0
11805 W SHELDON ST,62.5,72,23400.0,Office,38.9,497.5,1992.0
21431 SATICOY ST,118.9,66,43258.0,Multifamily Housing,49.5,2777.5,1975.0
8414 ORION AVE,214.4,80,65500.0,Multifamily Housing,58.9,2375.8,1977.0
3400 BEN LOMOND PL,179.3,47,85184.0,Multifamily Housing,34.1,3033.4,1975.0
6912 MILWOOD AVE,109.8,66,37850.0,Multifamily Housing,48.3,11178.1,1989.0
963 MENLO AVE,55.6,81,24405.0,Multifamily Housing,38.3,2034.7,1962.0
1230 W 3RD ST,207.2,40,36015.0,Office,91.4,567.2,1972.0
6851 SEPULVEDA BLVD,84.2,53,23450.0,Multifamily Housing,61.8,3621.3,1978.0
11747 DARLINGTON AVE,46.3,70,21691.0,Multifamily Housing,36.1,503.4,1975.0
5800 S SAN PEDRO ST,2.5,Not Available,21490.0,Manufacturing/Industrial Plant,1.9,49.1,1969.0
1111 S HOPE ST,27.4,Not Available,186610.0,Parking,2.1,394.2,1999.0
17808 SHERMAN WAY,162.8,79,67704.0,Multifamily Housing,40.3,3530.8,1984.0
6705 RIVERTON AVE,59.8,100,66050.0,Multifamily Housing,15.2,4829.4,1979.0
8966 MASON AVE,46,Not Available,44080.0,Manufacturing/Industrial Plant,15.4,556.6,1974.0
3010 S SEPULVEDA BLVD,773,Not Available,92226.0,Other - Mall,144.9,3089.5,1973.0
14800 ROSCOE BLVD,122.6,81,44792.0,Multifamily Housing,46.4,3248.8,1961.0
8553 SEPULVEDA BLVD,86.5,93,39750.0,Multifamily Housing,37.0,5207.9,1988.0
5627 SEPULVEDA BLVD,33.6,99,24000.0,Mixed Use Property,13.9,240.6,1964.0
7501 N TYRONE AVE,181.9,Not Available,30000.0,Other,88.6,289.6,1962.0
212 S NORMANDIE AVE,62.3,53,20415.0,Multifamily Housing,51.6,2556.1,1979.0
9825 WOODLEY AVE,121.2,48,60000.0,K-12 School,34.1,1212.5,1963.0
5700 W 6TH ST,237.5,63,105300.0,Multifamily Housing,37.5,4195.8,1987.0
2959 LEEWARD AVE,182,25,52904.0,Multifamily Housing,60.6,5511.6,1987.0
12730 W SATICOY ST SOUTH,51.3,Not Available,13536.0,Other,55.8,200.4,1952.0
1825 S HILL ST,19.8,Not Available,41500.0,Manufacturing/Industrial Plant,6.9,315.7,1951.0
555 UNIVERSAL HOLLYWOOD DR,2850.1,41,468870.0,Hotel,102.7,44009.4,1983.0
5955 DE SOTO AVE,229.1,55,55398.0,Office,63.3,1473.7,1978.0
315 N ISLAND AVE,21,88,8184.0,Office,37.5,8.2,1961.0
1825 S HILL ST,19.2,Not Available,41500.0,Manufacturing/Industrial Plant,6.8,326.2,1951.0
12300 W NEBRASKA AVE,12.2,Not Available,8500.0,Other,20.9,175.2,1953.0
1150 N WILMINGTON BLVD,154,75,42861.0,Multifamily Housing,64.6,3955.0,1987.0
433 E TEMPLE ST,105.1,79,36200.0,Office,46.3,145.7,1987.0
14133 SYLVAN ST,57.1,80,23190.0,Multifamily Housing,41.3,2170.1,1987.0
11805 W SHELDON ST,90.9,63,31000.0,Office,42.8,720.5,1992.0
8834 CEDROS AVE,67.3,67,27043.0,Multifamily Housing,41.6,2146.2,1962.0
19815 MAGELLAN DR,144.3,Not Available,33500.0,Manufacturing/Industrial Plant,62.8,1492.7,1979.0
21431 SATICOY ST,134.9,61,43258.0,Multifamily Housing,53.3,3260.8,1975.0
957 MENLO AVE,59.4,54,22497.0,Multifamily Housing,43.6,2403.5,1964.0
14535 SATICOY ST,88.4,78,36027.0,Multifamily Housing,40.4,3187.4,1963.0
820 S MANSFIELD AVE,45.7,89,22920.0,Multifamily Housing,31.2,828.1,1928.0
12300 W NEBRASKA AVE,17.8,Not Available,12400.0,Other,20.9,241.4,1956.0
8445 TOBIAS AVE,80.6,94,39642.0,Multifamily Housing,34.2,2793.2,1958.0
307 S RENO ST,245.5,47,83615.0,Multifamily Housing,52.0,6205.1,1990.0
14735 ROSCOE BLVD,91.6,74,28170.0,Multifamily Housing,54.9,3120.1,1959.0
10535 NATIONAL BLVD,27.7,100,21322.0,Multifamily Housing,19.0,1496.2,1956.0
1630 N NORTH MAIN ST,64.1,Not Available,31587.0,Other,44.2,94.5,1963.0
4411 W 3RD ST,84.2,50,33183.0,Multifamily Housing,42.6,2565.8,1964.0
7501 N TYRONE AVE,88.3,35,50187.0,Non-Refrigerated Warehouse,25.8,484.6,1962.0
11805 W SHELDON ST,73.9,41,27750.0,Office,38.9,680.8,1989.0
10750 OHIO AVE,101.8,Not Available,13744.0,Worship Facility,113.6,721.1,1957.0
12730 W SATICOY ST SOUTH,48.7,42,12993.0,Non-Refrigerated Warehouse,55.0,196.6,1952.0
8155 FOOTHILL BLVD,138.8,88,64231.0,Multifamily Housing,36.5,3910.8,1984.0
8761 ORION AVE,60.7,83,24572.0,Multifamily Housing,40.6,1865.6,1963.0
11805 W SHELDON ST,20.9,59,7500.0,Office,40.7,76.3,1990.0
15323 WEDDINGTON ST,45.5,93,27027.0,Multifamily Housing,29.9,784.0,1986.0
700 LEVERING AVE,9.6,Not Available,20748.0,Multifamily Housing,7.6,532.6,1951.0
2701 SAN MARINO ST,57.4,72,23404.0,Multifamily Housing,41.0,1974.9,1957.0
8966 MASON AVE,62.4,Not Available,44080.0,Manufacturing/Industrial Plant,20.8,806.4,1974.0
5050 WOODMAN AVE,91.5,57,28572.0,Multifamily Housing,56.3,1147.5,1961.0
8730 ORION AVE,46.5,98,32787.0,Multifamily Housing,21.6,2343.6,1964.0
555 UNIVERSAL HOLLYWOOD DR,2352,60,468870.0,Hotel,83.4,31880.5,1983.0
12254 BURBANK BLVD,79.6,59,24794.0,Multifamily Housing,55.0,1493.1,1958.0
433 E TEMPLE ST,154,Not Available,78200.0,Other,28.7,316.9,1992.0
433 E TEMPLE ST,129.6,70,42100.0,Office,49.6,248.8,1987.0
8862 VAN NUYS BLVD,82.3,45,23074.0,Multifamily Housing,61.9,2408.7,1974.0
6650 FRANKLIN AVE,96.6,87,36900.0,Multifamily Housing,44.7,2.0,1929.0
1212 PALMETTO ST,248.8,37,57082.0,Office,63.6,176.7,1992.0
7655 W SUNSET BLVD,128.9,58,37208.0,Office,52.9,336.6,1965.0
15060 VENTURA BLVD,185.5,60,52977.0,Office,53.1,580.5,1985.0
801 S HOPE ST,891.2,Not Available,304627.0,Multifamily Housing,45.5,12217.2,2014.0
5050 WOODMAN AVE,66.2,88,28572.0,Multifamily Housing,39.8,1327.8,1961.0
131 N ORLANDO AVE,32.4,Not Available,21000.0,Multifamily Housing,22.5,850.5,1972.0
11473 RIVERSIDE DR,85.6,64,26202.0,Multifamily Housing,55.9,2069.9,1964.0
3400 BEN LOMOND PL,164.8,53,85184.0,Multifamily Housing,31.3,2625.7,1975.0
434 S KENMORE AVE,74.1,61,39555.0,Multifamily Housing,30.4,3224.1,1961.0
10741 SHERMAN WAY,42.7,Not Available,50000.0,Manufacturing/Industrial Plant,12.5,579.7,1990.0
4414 W 3RD ST,69.9,75,38256.0,Multifamily Housing,27.2,2934.6,1962.0
16200 VENTURA BLVD,134.6,85,57209.0,Office,36.0,457.1,1964.0
10405 CANOGA AVE,26.4,100,55674.0,Multifamily Housing,8.5,1743.0,1964.0
14541 VICTORY BLVD,168.8,54,46924.0,Office,54.8,1104.9,1962.0
3742 JASMINE AVE,47.7,Not Available,29388.0,Multifamily Housing,28.7,839.3,1988.0
11458 BURBANK BLVD,56.1,95.0,22000.0,Multifamily Housing,43.0,1075.1,1957.0
